protocol,topology,num_replicas,set_size,payload_size,digest_bits,divergence,pattern,seed,round_cap,rounds,converged,target_union_size,total_state_bytes_sent,total_state_bytes_received,total_metadata_bytes_sent,total_metadata_bytes_received,total_encode_time_ns,total_decode_time_ns,total_elements_added
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,3,20,5,true,21046,3534720,3534720,0,0,0,0,88368
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,4,20,5,true,21053,3536960,3536960,0,0,0,0,88424
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,5,20,5,true,21034,3530880,3530880,0,0,0,0,88272
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,6,20,5,true,20988,3516160,3516160,0,0,0,0,87904
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,7,20,5,true,20971,3510720,3510720,0,0,0,0,87768
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,8,20,5,true,20998,3519360,3519360,0,0,0,0,87984
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,9,20,5,true,21001,3520320,3520320,0,0,0,0,88008
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,0,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,1,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,2,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,3,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,4,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,5,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,6,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,7,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,8,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.001,Uniform,9,20,2,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,0,20,2,true,10691,221120,221120,0,0,0,0,5528
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,1,20,2,true,10691,221120,221120,0,0,0,0,5528
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,2,20,2,true,10689,220480,220480,0,0,0,0,5512
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,3,20,2,true,10690,220800,220800,0,0,0,0,5520
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,4,20,2,true,10687,219840,219840,0,0,0,0,5496
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,5,20,2,true,10687,219840,219840,0,0,0,0,5496
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,6,20,2,true,10691,221120,221120,0,0,0,0,5528
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,7,20,2,true,10686,219520,219520,0,0,0,0,5488
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,8,20,2,true,10688,220160,220160,0,0,0,0,5504
FullStateTransfer,Chord,8,10000,32,64,0.01,Uniform,9,20,2,true,10691,221120,221120,0,0,0,0,5528
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,0,20,2,true,13283,1050560,1050560,0,0,0,0,26264
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,1,20,2,true,13278,1048960,1048960,0,0,0,0,26224
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,2,20,2,true,13250,1040000,1040000,0,0,0,0,26000
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,3,20,2,true,13259,1042880,1042880,0,0,0,0,26072
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,4,20,2,true,13240,1036800,1036800,0,0,0,0,25920
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,5,20,2,true,13237,1035840,1035840,0,0,0,0,25896
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,6,20,2,true,13255,1041600,1041600,0,0,0,0,26040
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,7,20,2,true,13235,1035200,1035200,0,0,0,0,25880
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,8,20,2,true,13227,1032640,1032640,0,0,0,0,25816
FullStateTransfer,Chord,8,10000,32,64,0.05,Uniform,9,20,2,true,13253,1040960,1040960,0,0,0,0,26024
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,0,20,2,true,16104,1953280,1953280,0,0,0,0,48832
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,1,20,2,true,16153,1968960,1968960,0,0,0,0,49224
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,2,20,2,true,16122,1959040,1959040,0,0,0,0,48976
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,3,20,2,true,16128,1960960,1960960,0,0,0,0,49024
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,4,20,2,true,16119,1958080,1958080,0,0,0,0,48952
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,5,20,2,true,16107,1954240,1954240,0,0,0,0,48856
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,6,20,2,true,16117,1957440,1957440,0,0,0,0,48936
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,7,20,2,true,16104,1953280,1953280,0,0,0,0,48832
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,8,20,2,true,16091,1949120,1949120,0,0,0,0,48728
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,9,20,2,true,16115,1956800,1956800,0,0,0,0,48920
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,0,20,2,true,20979,3513280,3513280,0,0,0,0,87832
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,1,20,2,true,21072,3543040,3543040,0,0,0,0,88576
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,2,20,2,true,21014,3524480,3524480,0,0,0,0,88112
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,3,20,2,true,21046,3534720,3534720,0,0,0,0,88368
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,4,20,2,true,21053,3536960,3536960,0,0,0,0,88424
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,5,20,2,true,21034,3530880,3530880,0,0,0,0,88272
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,6,20,2,true,20988,3516160,3516160,0,0,0,0,87904
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,7,20,2,true,20971,3510720,3510720,0,0,0,0,87768
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,8,20,2,true,20998,3519360,3519360,0,0,0,0,87984
FullStateTransfer,Chord,8,10000,32,64,0.2,Uniform,9,20,2,true,21001,3520320,3520320,0,0,0,0,88008
Riblt,Star,8,10000,32,64,0.001,Uniform,0,20,2,true,10070,0,0,13488,13488,1460314093,13176775,560
Riblt,Star,8,10000,32,64,0.001,Uniform,1,20,2,true,10070,0,0,12832,12832,1446663361,12992602,560
Riblt,Star,8,10000,32,64,0.001,Uniform,2,20,2,true,10070,0,0,13776,13776,1470573911,13371665,560
Riblt,Star,8,10000,32,64,0.001,Uniform,3,20,2,true,10070,0,0,14992,14992,1502227256,13543179,560
Riblt,Star,8,10000,32,64,0.001,Uniform,4,20,2,true,10070,0,0,12768,12768,1447784968,13086203,560
Riblt,Star,8,10000,32,64,0.001,Uniform,5,20,2,true,10070,0,0,14640,14640,1506516515,13286683,560
Riblt,Star,8,10000,32,64,0.001,Uniform,6,20,2,true,10070,0,0,13344,13344,1465697229,13371259,560
Riblt,Star,8,10000,32,64,0.001,Uniform,7,20,2,true,10070,0,0,13952,13952,1471731566,13236516,560
Riblt,Star,8,10000,32,64,0.001,Uniform,8,20,2,true,10070,0,0,12832,12832,1439085328,12986691,560
Riblt,Star,8,10000,32,64,0.001,Uniform,9,20,2,true,10070,0,0,14208,14208,1478997508,13182611,560
Riblt,Star,8,10000,32,64,0.01,Uniform,0,20,2,true,10691,0,0,124096,124096,2446731129,153948464,5528
Riblt,Star,8,10000,32,64,0.01,Uniform,1,20,2,true,10691,0,0,123424,123424,2474135968,152817899,5528
Riblt,Star,8,10000,32,64,0.01,Uniform,2,20,2,true,10689,0,0,124512,124512,2485686496,154363958,5512
Riblt,Star,8,10000,32,64,0.01,Uniform,3,20,2,true,10690,0,0,122224,122224,2474718434,155213269,5520
Riblt,Star,8,10000,32,64,0.01,Uniform,4,20,2,true,10687,0,0,125024,125024,2487316249,154863902,5496
Riblt,Star,8,10000,32,64,0.01,Uniform,5,20,2,true,10687,0,0,124448,124448,2464174886,154882232,5496
Riblt,Star,8,10000,32,64,0.01,Uniform,6,20,2,true,10691,0,0,119488,119488,2466762002,154011087,5528
Riblt,Star,8,10000,32,64,0.01,Uniform,7,20,2,true,10686,0,0,119920,119920,2453991585,152950580,5488
Riblt,Star,8,10000,32,64,0.01,Uniform,8,20,2,true,10688,0,0,122768,122768,2472955028,153405374,5504
Riblt,Star,8,10000,32,64,0.01,Uniform,9,20,2,true,10691,0,0,118752,118752,2438175639,154173961,5528
Riblt,Star,8,10000,32,64,0.05,Uniform,0,20,2,true,13283,0,0,578208,578208,3498048377,864356371,26264
Riblt,Star,8,10000,32,64,0.05,Uniform,1,20,2,true,13278,0,0,576192,576192,3472425855,860645925,26224
Riblt,Star,8,10000,32,64,0.05,Uniform,2,20,2,true,13250,0,0,578944,578944,3489801503,855621948,26000
Riblt,Star,8,10000,32,64,0.05,Uniform,3,20,2,true,13259,0,0,568176,568176,3469132531,853231855,26072
Riblt,Star,8,10000,32,64,0.05,Uniform,4,20,2,true,13240,0,0,571488,571488,3471133588,848497538,25920
Riblt,Star,8,10000,32,64,0.05,Uniform,5,20,2,true,13237,0,0,570448,570448,3475792447,850634641,25896
Riblt,Star,8,10000,32,64,0.05,Uniform,6,20,2,true,13255,0,0,577968,577968,3486346017,862895455,26040
Riblt,Star,8,10000,32,64,0.05,Uniform,7,20,2,true,13235,0,0,570496,570496,3458506519,845456056,25880
Riblt,Star,8,10000,32,64,0.05,Uniform,8,20,2,true,13227,0,0,571904,571904,3471099998,847961258,25816
Riblt,Star,8,10000,32,64,0.05,Uniform,9,20,2,true,13253,0,0,570448,570448,3484362224,858988540,26024
Riblt,Star,8,10000,32,64,0.1,Uniform,0,20,2,true,16104,0,0,1076640,1076640,4180995678,1723722478,48832
