protocol,topology,num_replicas,set_size,payload_size,digest_bits,divergence,pattern,seed,round_cap,rounds,converged,target_union_size,total_state_bytes_sent,total_state_bytes_received,total_metadata_bytes_sent,total_metadata_bytes_received,total_encode_time_ns,total_decode_time_ns,total_elements_added
Riblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,1974280,1456576,1456576,693827867,123851418,48728
Riblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,2883600,1338024,1338024,1278487827,99848120,48728
Riblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,3600240,1968912,1968912,1432754390,151735730,48728
StaticBfIblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,1974280,1517580,1517580,433675865,61000403,48728
StaticBfIblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,2883600,3974370,3974370,844263185,96502022,48728
StaticBfIblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,3600240,3343000,3343000,1244463901,107733442,48728
HybridRbfRiblt,Star,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,1949120,1949120,825201,825201,431392228,100521910,48728
HybridRbfRiblt,Tree,8,10000,32,64,0.1,Uniform,42,20,5,true,16091,1949120,1949120,1088155,1088155,945072939,139296930,48728
HybridRbfRiblt,Chord,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,1949120,1949120,2029999,2029999,1412068495,259608973,48728
FullStateTransfer,Star,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,13174280,13174280,0,0,0,0,48728
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,42,20,5,true,16091,37327720,37327720,0,0,0,0,48728
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,39176000,39176000,0,0,0,0,48728
Riblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,1974280,1456576,1456576,742988402,131750935,48728
Riblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,2883600,1338024,1338024,1409444402,110794993,48728
Riblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,3600240,1968912,1968912,1634019274,173676228,48728
StaticBfIblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,1974280,1517724,1517724,497775189,69918538,48728
StaticBfIblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,2883600,3975362,3975362,838496238,96565618,48728
StaticBfIblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,3600240,3343504,3343504,1187694002,103623069,48728
HybridRbfRiblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,1974280,949820,949820,484329828,121746643,48728
HybridRbfRiblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,2883600,1321327,1321327,1031128660,181621772,48728
HybridRbfRiblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,3600240,2015009,2015009,1335455826,243557112,48728
FullStateTransfer,Star,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,13174280,0,0,0,0,0,48728
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,42,20,5,true,16091,37327720,0,0,0,0,0,48728
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,39176000,0,0,0,0,0,48728
Riblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,0,1456576,0,649381876,126001961,48728
Riblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,0,1338024,0,1204655007,101314456,48728
Riblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,0,1968912,0,1368578374,154132172,48728
StaticBfIblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,0,1517556,0,417566266,62210800,48728
StaticBfIblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,0,3973610,0,806236630,96568737,48728
StaticBfIblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,0,3340648,0,1184485590,109586972,48728
HybridRbfRiblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,0,949235,0,491334114,125612776,48728
HybridRbfRiblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,0,1318693,0,1055446291,188066641,48728
HybridRbfRiblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,0,2024687,0,1308106366,254602198,48728
FullStateTransfer,Star,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,13174280,0,0,0,0,0,48728
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,42,20,5,true,16091,37327720,0,0,0,0,0,48728
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,39176000,0,0,0,0,0,48728
Riblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,0,1456576,0,796909764,139735722,48728
Riblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,0,1338024,0,1403539018,112639043,48728
Riblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,0,1968912,0,1482688874,161120576,48728
StaticBfIblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,0,1517804,0,433921320,61328893,48728
StaticBfIblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,0,3974026,0,879577187,100483962,48728
StaticBfIblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,0,3342864,0,1241788728,108375471,48728
HybridRbfRiblt,Star,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,1974280,0,952376,0,511201289,128169488,48728
HybridRbfRiblt,Tree,8,10000,32,64,0.1,Uniform,42,20,13,true,16091,2883600,0,1307255,0,1032314901,182549909,48728
HybridRbfRiblt,Chord,8,10000,32,64,0.1,Uniform,42,20,4,true,16091,3600240,0,2031966,0,1344441912,257921488,48728
